index,id,zipcode,price,median_price_zipcode,condition,status
0,7129300520,98178,221900.0,277554.0,3,buy
1,4060000240,98178,205425.0,277554.0,4,buy
3,2976800796,98178,236000.0,277554.0,3,buy
4,6874200960,98178,170000.0,277554.0,3,buy
5,4268200055,98178,245000.0,277554.0,3,buy
6,3969300030,98178,165000.0,277554.0,3,buy
7,3969300030,98178,239900.0,277554.0,3,buy
10,1180003090,98178,190000.0,277554.0,3,buy
11,561000075,98178,260000.0,277554.0,4,buy
14,3348401740,98178,188000.0,277554.0,3,buy
16,5476200160,98178,164808.0,277554.0,3,buy
19,2171400126,98178,269000.0,277554.0,3,buy
20,3352402236,98178,252500.0,277554.0,5,buy
22,7812800310,98178,260000.0,277554.0,3,buy
23,2171400218,98178,245000.0,277554.0,3,buy
27,185000118,98178,212000.0,277554.0,5,buy
28,3810000860,98178,240000.0,277554.0,3,buy
29,3810000565,98178,255000.0,277554.0,3,buy
31,179000350,98178,194000.0,277554.0,3,buy
32,3810000202,98178,251700.0,277554.0,3,buy
33,4058802105,98178,150000.0,277554.0,3,buy
35,3810000465,98178,243000.0,277554.0,4,buy
39,179003055,98178,210000.0,277554.0,3,buy
40,3352400004,98178,184500.0,277554.0,3,buy
41,3352401981,98178,199000.0,277554.0,3,buy
44,5476200123,98178,200000.0,277554.0,3,buy
46,3800008,98178,178000.0,277554.0,3,buy
47,2172000750,98178,160000.0,277554.0,3,buy
48,7813200115,98178,100000.0,277554.0,3,buy
51,3352402250,98178,119900.0,277554.0,3,buy
52,7657000165,98178,200000.0,277554.0,3,buy
54,399000195,98178,200000.0,277554.0,3,buy
55,3348401584,98178,210000.0,277554.0,3,buy
58,399000025,98178,265000.0,277554.0,3,buy
59,9368700031,98178,195000.0,277554.0,3,buy
62,3352402195,98178,169000.0,277554.0,3,buy
63,2328800130,98178,220000.0,277554.0,3,buy
66,8068000585,98178,235000.0,277554.0,5,buy
68,7129300420,98178,258000.0,277554.0,5,buy
69,4060000440,98178,241000.0,277554.0,3,buy
70,185000161,98178,261000.0,277554.0,3,buy
75,8068000305,98178,241000.0,277554.0,3,buy
79,1180008315,98178,212000.0,277554.0,5,buy
84,7657000225,98178,205000.0,277554.0,3,buy
89,3352400330,98178,216000.0,277554.0,3,buy
91,4136800205,98178,258000.0,277554.0,3,buy
93,7812800865,98178,170000.0,277554.0,3,buy
94,7657600195,98178,199950.0,277554.0,3,buy
96,7812801115,98178,153000.0,277554.0,3,buy
97,9282800065,98178,203000.0,277554.0,3,buy
98,3348401095,98178,210000.0,277554.0,3,buy
102,2144800615,98178,190000.0,277554.0,3,buy
103,2520900301,98178,239300.0,277554.0,3,buy
104,2172000846,98178,248000.0,277554.0,3,buy
106,7812800515,98178,159075.0,277554.0,3,buy
109,3352400325,98178,225000.0,277554.0,3,buy
110,1180007005,98178,265950.0,277554.0,4,buy
113,179001425,98178,230000.0,277554.0,3,buy
114,4058801065,98178,272000.0,277554.0,5,buy
116,7812800775,98178,264250.0,277554.0,3,buy
119,2144800117,98178,270000.0,277554.0,3,buy
120,4058801230,98178,256000.0,277554.0,3,buy
122,7812801925,98178,230000.0,277554.0,4,buy
124,4440400125,98178,228000.0,277554.0,3,buy
126,1180002075,98178,235000.0,277554.0,3,buy
128,179000505,98178,257000.0,277554.0,3,buy
129,7812800681,98178,166000.0,277554.0,4,buy
131,1180002735,98178,269000.0,277554.0,4,buy
135,4279900140,98178,251000.0,277554.0,5,buy
138,3352401090,98178,238950.0,277554.0,3,buy
139,9368700270,98178,137900.0,277554.0,3,buy
144,3352402272,98178,230000.0,277554.0,4,buy
145,4058802255,98178,219950.0,277554.0,3,buy
147,1180003435,98178,275000.0,277554.0,3,buy
148,3878900681,98178,272000.0,277554.0,3,buy
153,7812801125,98178,222900.0,277554.0,3,buy
155,7689600360,98178,215000.0,277554.0,3,buy
157,7657000085,98178,218000.0,277554.0,3,buy
161,7689600330,98178,207000.0,277554.0,3,buy
163,3352400905,98178,245000.0,277554.0,3,buy
164,393000385,98178,255000.0,277554.0,3,buy
167,2976800749,98178,150000.0,277554.0,3,buy
168,2172000035,98178,190000.0,277554.0,3,buy
169,1423049029,98178,265000.0,277554.0,3,buy
171,3348401490,98178,265000.0,277554.0,3,buy
172,7812800995,98178,200000.0,277554.0,3,buy
173,4059400515,98178,229950.0,277554.0,3,buy
174,1180003175,98178,229950.0,277554.0,3,buy
176,3348401622,98178,223000.0,277554.0,5,buy
178,2976800145,98178,260000.0,277554.0,3,buy
181,179001046,98178,229000.0,277554.0,3,buy
183,1180005280,98178,239950.0,277554.0,4,buy
184,7812801590,98178,219900.0,277554.0,3,buy
186,3352400351,98178,200000.0,277554.0,4,buy
187,7812801850,98178,194000.0,277554.0,3,buy
188,179001101,98178,135000.0,277554.0,3,buy
189,7961500010,98178,245000.0,277554.0,3,buy
191,2172000894,98178,225000.0,277554.0,3,buy
192,1123049027,98178,157500.0,277554.0,3,buy
195,3347400525,98178,147000.0,277554.0,3,buy
196,1180005220,98178,225000.0,277554.0,4,buy
199,2172000285,98178,254500.0,277554.0,3,buy
200,7657600005,98178,249950.0,277554.0,4,buy
208,4059400585,98178,218000.0,277554.0,4,buy
212,7689600630,98178,216500.0,277554.0,4,buy
213,4059400190,98178,225000.0,277554.0,4,buy
215,7812801700,98178,227000.0,277554.0,3,buy
216,4060000290,98178,253000.0,277554.0,5,buy
217,4060000170,98178,255000.0,277554.0,3,buy
218,1123049126,98178,227000.0,277554.0,3,buy
219,3352401476,98178,199988.0,277554.0,3,buy
223,3347401315,98178,220000.0,277554.0,4,buy
225,3151600035,98178,261590.0,277554.0,3,buy
226,1423049019,98178,90000.0,277554.0,3,buy
227,1423049019,98178,220000.0,277554.0,3,buy
228,7812800855,98178,159100.0,277554.0,3,buy
233,7812800215,98178,235000.0,277554.0,3,buy
235,7657000540,98178,165000.0,277554.0,3,buy
236,7657000540,98178,260000.0,277554.0,3,buy
239,7689600215,98178,202500.0,277554.0,3,buy
242,3352400661,98178,135900.0,277554.0,3,buy
243,2988800011,98178,244000.0,277554.0,3,buy
244,2144800146,98178,257500.0,277554.0,5,buy
245,4440400155,98178,190000.0,277554.0,3,buy
246,7812801785,98178,221347.0,277554.0,3,buy
247,3352401037,98178,224000.0,277554.0,3,buy
249,7878400043,98178,185000.0,277554.0,3,buy
251,3878900464,98178,229500.0,277554.0,3,buy
263,1133000671,98125,315000.0,424500.0,3,buy
264,3992700335,98125,382500.0,424500.0,3,buy
267,6381500700,98125,365000.0,424500.0,3,buy
269,6798100662,98125,312000.0,424500.0,3,buy
274,1455100116,98125,397500.0,424500.0,4,buy
279,5144000036,98125,360000.0,424500.0,3,buy
280,751000060,98125,353000.0,424500.0,4,buy
281,4427100030,98125,332500.0,424500.0,3,buy
284,6370000070,98125,359000.0,424500.0,4,buy
286,8902500118,98125,326000.0,424500.0,3,buy
287,6381500505,98125,400000.0,424500.0,3,buy
288,2126049032,98125,375000.0,424500.0,5,buy
290,3226049117,98125,387500.0,424500.0,4,buy
292,6632300478,98125,400000.0,424500.0,4,buy
293,2239800070,98125,417000.0,424500.0,3,buy
294,3448000270,98125,398500.0,424500.0,3,buy
296,6414100111,98125,365000.0,424500.0,3,buy
298,4427100105,98125,398000.0,424500.0,5,buy
299,8901000445,98125,390000.0,424500.0,3,buy
304,3992700036,98125,415000.0,424500.0,3,buy
307,9324800110,98125,420000.0,424500.0,5,buy
308,3834000805,98125,350000.0,424500.0,3,buy
309,6381501636,98125,320000.0,424500.0,4,buy
315,7663700792,98125,228000.0,424500.0,3,buy
317,7663700261,98125,395000.0,424500.0,4,buy
319,1160000115,98125,401000.0,424500.0,3,buy
320,6161000015,98125,349950.0,424500.0,3,buy
323,6855700115,98125,357250.0,424500.0,4,buy
324,1453602309,98125,288000.0,424500.0,3,buy
325,2026049125,98125,310000.0,424500.0,3,buy
326,1787600164,98125,310000.0,424500.0,4,buy
328,3992700265,98125,385100.0,424500.0,4,buy
336,1787600252,98125,282000.0,424500.0,3,buy
338,2926049449,98125,384400.0,424500.0,3,buy
342,1454100056,98125,355000.0,424500.0,5,buy
344,3226049184,98125,325000.0,424500.0,3,buy
345,6414100721,98125,407500.0,424500.0,3,buy
346,6798100652,98125,316750.0,424500.0,3,buy
348,7663700551,98125,336000.0,424500.0,4,buy
350,5101407305,98125,319000.0,424500.0,3,buy
351,8820902905,98125,375000.0,424500.0,3,buy
352,5272200005,98125,175000.0,424500.0,3,buy
